Stock Symbol,Company Name,Next Earnings Report Date,Dividend Offered,Ex-Dividend Date,Annual Dividend Yield
AAPL,Apple Inc.,N/A,Yes,2024-11-08,0.00%
MSFT,Microsoft Corporation,N/A,Yes,2024-11-21,0.81%
GOOGL,Alphabet Inc.,N/A,Yes,2024-12-09,0.42%
AMZN,"Amazon.com, Inc.",N/A,No,N/A,N/A
TSLA,"Tesla, Inc.",N/A,No,N/A,N/A
META,"Meta Platforms, Inc.",N/A,Yes,2024-12-16,0.33%
V,Visa Inc.,N/A,Yes,2024-11-12,0.03%
JPM,JP Morgan Chase & Co.,N/A,Yes,2025-01-06,0.32%
DIS,Walt Disney Company (The),N/A,Yes,2024-12-16,0.00%
NFLX,"Netflix, Inc.",N/A,No,N/A,N/A
